"imageLink","price","productName","storeName"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/5/fc61d32f-73a4-487e-86d3-fd2984e34a7d.jpg.webp?ect=4g","4787000","Iphone XR 64GB fullset second original mulus - Merah, 64 gb","Rhacellindo Multimedia"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/17/f561e156-5e67-49ea-b9ad-ae8c85260b15.jpg.webp?ect=4g","13997000","Apple iPhone 13 Mini 128/256/512 GB ROM 128 256 512GB Garansi TAM - Midnight, 128GB","SUPER_GADGET"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/8/6dc789ab-971f-4e16-b698-9bf8485205ed.png.webp?ect=4g","3899000","Xiaomi Redmi Note 10 Pro 8/128GB NFC 6.67"" 108MP 5020mAh Smart HP","Xiaomi Official Store"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/7/f5c0e160-deb5-4281-b156-8144e4e59a00.jpg.webp?ect=4g","2158000","Samsung Galaxy A12 4/128 / 6/128 Garansi Resmi Sein By Tam","murahmeriah shop"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/22/a809e810-f64a-48b3-b820-f394406eb28b.jpg.webp?ect=4g","1395000","Xiaomi Redmi 9A 3/32 GB Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/14ca8da9-523d-4784-a208-2b1c4bad42ba.jpg.webp?ect=4g","2130000","Samsung A12 4/128 RAM 4GB Internal 128GB Garansi Resmi SEIN","SFONE OMNI STORE"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/5f636056-8dfb-40a0-99d5-4bc84afa416d.jpg.webp?ect=4g","1446000","Infinix Hot 10 Play 3/32 GB Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/31/5a643563-0f91-4abc-97fa-7f32ab9dbc79.jpg.webp?ect=4g","3635000","Redmi Note 10 Pro 6/64GB + 8/128GB Garansi Resmi","duniagadgetku"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/1/fac0afc5-f758-4fa3-bfc5-3432b343f697.jpg.webp?ect=4g","2699000","REDMI NOTE 10S RAM 8/128 RAM 6/64 SUPPORT NFC GARANSI RESMI","ALFASTORE-"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/15/25eae716-c7b4-41b0-8d8e-8b13691b3bb7.jpg.webp?ect=4g","1339000","INFINIX SMART 5 RAM 2 32 GARANSI RESMI","Bintang Terang Cell"
